Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
15,2,250.26000000000002,4,2,2,8,Potential
59,6,1217.65,3,5,4,12,Loyal
30,8,5891.61,4,5,5,14,Champion
94,1,353.48,2,1,2,5,At Risk
10,3,1095.42,5,3,4,12,Loyal
20,3,786.83,4,3,3,10,Loyal
57,5,1520.58,3,4,4,11,Loyal
268,1,333.74,1,1,2,4,At Risk
122,3,533.98,2,3,3,8,Potential
127,1,62.63999999999999,2,1,1,4,At Risk
78,4,819.2900000000001,2,4,3,9,Potential
240,2,847.41,1,2,3,6,At Risk
200,2,163.20000000000002,1,2,1,4,At Risk
60,2,2155.95,3,2,5,10,Loyal
3,7,6463.84,5,5,5,15,Champion
273,1,108.21000000000001,1,1,1,3,At Risk
202,1,257.7,1,1,2,4,At Risk
81,1,358.0,2,1,2,5,At Risk
226,1,160.95,1,1,1,3,At Risk
4,14,2755.63,5,5,5,15,Champion
13,7,1328.35,5,5,4,14,Champion
74,2,605.12,2,2,3,7,Potential
212,1,1031.07,1,1,4,6,At Risk
25,2,744.85,4,2,3,9,Potential
17,4,700.73,4,4,3,11,Loyal
262,1,329.56,1,1,2,4,At Risk
96,4,663.65,2,4,3,9,Potential
112,3,270.40000000000003,2,3,2,7,Potential
203,1,585.12,1,1,3,5,At Risk
93,1,121.74000000000001,2,1,1,4,At Risk
51,1,430.5,3,1,2,6,At Risk
18,6,1961.52,4,5,4,13,Champion
18,4,501.12,4,4,3,11,Loyal
125,2,465.68,2,2,2,6,At Risk
92,3,711.41,2,3,3,8,Potential
157,2,1030.4,2,2,4,8,Potential
9,2,399.51,5,2,2,9,Potential
12,3,672.83,5,3,3,11,Loyal
62,1,283.18,3,1,2,6,At Risk
61,1,557.62,3,1,3,7,Potential
269,2,944.1,1,2,4,7,Potential
263,1,200.29,1,1,1,3,At Risk
1,35,7436.93,5,5,5,15,Champion
53,5,2092.66,3,4,5,12,Loyal
11,12,3834.2599999999998,5,5,5,15,Champion
3,19,4521.49,5,5,5,15,Champion
18,11,3174.75,4,5,5,14,Champion
1,15,5343.28,5,5,5,15,Champion
366,1,590.0,1,1,3,5,At Risk
37,1,211.49,3,1,1,5,At Risk
31,2,276.56,4,2,2,8,Potential
113,1,138.98,2,1,1,4,At Risk
64,2,590.9300000000001,3,2,3,8,Potential
16,4,258.4,4,4,2,10,Loyal
41,1,542.73,3,1,3,7,Potential
78,1,137.75,2,1,1,4,At Risk
122,3,798.46,2,3,3,8,Potential
18,3,1132.14,4,3,4,11,Loyal
60,2,93.66,3,2,1,6,At Risk
331,1,201.19,1,1,1,3,At Risk
23,4,2709.12,4,4,5,13,Champion
156,1,361.11,2,1,2,5,At Risk
39,2,578.9399999999999,3,2,3,8,Potential
190,2,873.74,1,2,3,6,At Risk
360,1,201.20000000000002,1,1,1,3,At Risk
137,1,87.4,2,1,1,4,At Risk
8,4,2089.85,5,4,5,14,Champion
1,1,360.0,5,1,2,8,Potential
268,1,142.5,1,1,1,3,At Risk
169,1,371.89,2,1,2,5,At Risk
104,4,618.09,2,4,3,9,Potential
155,1,63.75,2,1,1,4,At Risk
351,1,300.42,1,1,2,4,At Risk
4,10,2000.86,5,5,4,14,Champion
120,1,15.0,2,1,1,4,At Risk
23,3,1385.51,4,3,4,11,Loyal
7,5,1456.79,5,4,4,13,Champion
28,3,1132.03,4,3,4,11,Loyal
4,2,598.57,5,2,3,10,Loyal
22,5,1555.32,4,4,4,12,Loyal
2,3,775.94,5,3,3,11,Loyal
37,4,5732.93,3,4,5,12,Loyal
66,6,2273.68,3,5,5,13,Champion
1,3,640.76,5,3,3,11,Loyal
5,26,10845.550000000001,5,5,5,15,Champion
78,4,1532.2,2,4,4,10,Loyal
72,2,567.36,3,2,3,8,Potential
17,1,199.48000000000002,4,1,1,6,At Risk
3,5,787.85,5,4,3,12,Loyal
36,10,7121.95,3,5,5,13,Champion
82,1,675.3,2,1,3,6,At Risk
39,8,3627.77,3,5,5,13,Champion
316,1,1308.48,1,1,4,6,At Risk
32,2,789.0,4,2,3,9,Potential
93,3,1140.93,2,3,4,9,Potential
14,1,350.9,4,1,2,7,Potential
82,3,3502.32,2,3,5,10,Loyal
77,1,795.12,2,1,3,6,At Risk
158,1,487.02,2,1,2,5,At Risk
201,1,860.12,1,1,3,5,At Risk
45,7,10736.48,3,5,5,13,Champion
261,1,775.85,1,1,3,5,At Risk
178,1,353.43,2,1,2,5,At Risk
68,3,2511.69,3,3,5,11,Loyal
288,1,389.5,1,1,2,4,At Risk
70,1,341.36,3,1,2,6,At Risk
64,1,233.76,3,1,1,5,At Risk
11,1,247.32,5,1,1,7,Potential
16,2,979.12,4,2,4,10,Loyal
66,1,373.94,3,1,2,6,At Risk
60,1,397.97999999999996,3,1,2,6,At Risk
71,1,743.53,3,1,3,7,Potential
122,1,674.7,2,1,3,6,At Risk
80,1,768.24,2,1,3,6,At Risk
257,1,609.4,1,1,3,5,At Risk
269,1,439.03,1,1,2,4,At Risk
64,1,439.56,3,1,2,6,At Risk
9,4,3090.7400000000002,5,4,5,14,Champion
18,2,992.5,4,2,4,10,Loyal
71,1,134.95999999999998,3,1,1,5,At Risk
34,2,2225.37,3,2,5,10,Loyal
50,1,56.160000000000004,3,1,1,5,At Risk
257,2,623.4,1,2,3,6,At Risk
366,1,308.28000000000003,1,1,2,4,At Risk
372,1,754.87,1,1,3,5,At Risk
90,1,378.64,2,1,2,5,At Risk
61,3,3312.25,3,3,5,11,Loyal
89,1,778.65,2,1,3,6,At Risk
99,3,1019.76,2,3,4,9,Potential
26,3,572.56,4,3,3,10,Loyal
32,6,3639.31,4,5,5,14,Champion
281,1,222.99,1,1,1,3,At Risk
31,7,4151.93,4,5,5,14,Champion
330,1,534.57,1,1,3,5,At Risk
131,2,677.1,2,2,3,7,Potential
11,3,797.96,5,3,3,11,Loyal
75,1,544.08,2,1,3,6,At Risk
204,1,59.8,1,1,1,3,At Risk
2,8,2520.02,5,5,5,15,Champion
185,1,307.72,1,1,2,4,At Risk
29,2,1360.99,4,2,4,10,Loyal
73,5,1544.13,2,4,4,10,Loyal
192,1,457.34,1,1,2,4,At Risk
127,2,621.23,2,2,3,7,Potential
18,1,75.0,4,1,1,6,At Risk
1,2,252.49,5,2,2,9,Potential
74,3,572.451,2,3,3,8,Potential
2,62,28117.04,5,5,5,15,Champion
24,5,1003.06,4,4,4,12,Loyal
107,1,213.55,2,1,1,4,At Risk
134,3,1390.5,2,3,4,9,Potential
44,2,712.5,3,2,3,8,Potential
5,2,640.83,5,2,3,10,Loyal
12,18,6127.43,5,5,5,15,Champion
64,1,221.06,3,1,1,5,At Risk
150,2,159.85,2,2,1,5,At Risk
40,2,1833.71,3,2,4,9,Potential
64,1,2626.3,3,1,5,9,Potential
108,3,1624.21,2,3,4,9,Potential
1,10,3641.32,5,5,5,15,Champion
19,3,582.6,4,3,3,10,Loyal
10,1,201.78,5,1,1,7,Potential
11,4,1006.8,5,4,4,13,Champion
19,2,679.45,4,2,3,9,Potential
67,2,1269.1,3,2,4,9,Potential
74,2,534.24,2,2,3,7,Potential
5,7,3809.8900000000003,5,5,5,15,Champion
2,1,196.89,5,1,1,7,Potential
14,7,3408.06,4,5,5,14,Champion
255,1,283.71,1,1,2,4,At Risk
92,1,296.64,2,1,2,5,At Risk
23,3,1129.14,4,3,4,11,Loyal
17,6,3534.69,4,5,5,14,Champion
24,1,291.88,4,1,2,7,Potential
27,6,2043.7199999999998,4,5,4,13,Champion
26,5,2898.2599999999998,4,4,5,13,Champion
259,2,590.0,1,2,3,6,At Risk
166,2,356.97999999999996,2,2,2,6,At Risk
25,2,1058.34,4,2,4,10,Loyal
18,6,1766.72,4,5,4,13,Champion
7,14,9646.57,5,5,5,15,Champion
29,2,183.44,4,2,1,7,Potential
39,3,1445.0,3,3,4,10,Loyal
253,1,151.5,1,1,1,3,At Risk
58,1,674.68,3,1,3,7,Potential
184,1,307.9,1,1,2,4,At Risk
11,2,1071.91,5,2,4,11,Loyal
2,37,5704.97,5,5,5,15,Champion
99,2,165.0,2,2,1,5,At Risk
1,4,2501.84,5,4,5,14,Champion
61,2,422.64,3,2,2,7,Potential
236,1,226.84,1,1,1,3,At Risk
191,4,1431.78,1,4,4,9,Potential
179,2,1238.47,2,2,4,8,Potential
38,6,1454.58,3,5,4,12,Loyal
201,2,300.95,1,2,2,5,At Risk
46,5,1804.56,3,4,4,11,Loyal
232,1,184.64,1,1,1,3,At Risk
66,1,140.34,3,1,1,5,At Risk
241,1,313.8,1,1,2,4,At Risk
233,1,454.24,1,1,2,4,At Risk
78,3,1122.41,2,3,4,9,Potential
58,3,575.4,3,3,3,9,Potential
17,13,8968.31,4,5,5,14,Champion
105,4,449.52,2,4,2,8,Potential
52,10,1215.82,3,5,4,12,Loyal
136,3,1269.84,2,3,4,9,Potential
275,2,618.63,1,2,3,6,At Risk
312,1,316.26000000000005,1,1,2,4,At Risk
8,5,2044.8700000000001,5,4,4,13,Champion
11,2,653.33,5,2,3,10,Loyal
283,2,348.05,1,2,2,5,At Risk
18,5,1159.11,4,4,4,12,Loyal
23,3,1166.77,4,3,4,11,Loyal
288,1,1340.32,1,1,4,6,At Risk
17,3,292.0,4,3,2,9,Potential
71,1,216.85,3,1,1,5,At Risk
64,1,295.93,3,1,2,6,At Risk
73,4,4393.63,2,4,5,11,Loyal
316,2,458.52,1,2,2,5,At Risk
3,4,2479.16,5,4,5,14,Champion
244,1,110.97,1,1,1,3,At Risk
9,7,979.72,5,5,4,14,Champion
1,4,1791.56,5,4,4,13,Champion
261,1,251.21,1,1,2,4,At Risk
127,1,205.1,2,1,1,4,At Risk
74,1,152.20000000000002,2,1,1,4,At Risk
73,4,891.12,2,4,3,9,Potential
21,3,1389.41,4,3,4,11,Loyal
60,3,2128.42,3,3,5,11,Loyal
86,1,627.16,2,1,3,6,At Risk
78,1,122.75,2,1,1,4,At Risk
59,6,3624.35,3,5,5,13,Champion
1,3,1071.73,5,3,4,12,Loyal
30,1,125.80000000000001,4,1,1,6,At Risk
33,5,3964.88,4,4,5,13,Champion
41,5,680.1800000000001,3,4,3,10,Loyal
15,2,628.78,4,2,3,9,Potential
34,7,2242.36,3,5,5,13,Champion
79,2,307.76,2,2,2,6,At Risk
205,2,483.8,1,2,2,5,At Risk
34,1,210.31,3,1,1,5,At Risk
183,3,269.09,1,3,2,6,At Risk
2,25,5870.08,5,5,5,15,Champion
1,7,3444.39,5,5,5,15,Champion
43,7,1280.85,3,5,4,12,Loyal
86,3,631.34,2,3,3,8,Potential
40,2,276.06,3,2,2,7,Potential
12,3,621.09,5,3,3,11,Loyal
96,2,678.16,2,2,3,7,Potential
26,7,918.2,4,5,3,12,Loyal
319,1,91.80000000000001,1,1,1,3,At Risk
66,12,3740.07,3,5,5,13,Champion
74,4,4098.88,2,4,5,11,Loyal
28,2,584.06,4,2,3,9,Potential
6,4,594.52,5,4,3,12,Loyal
7,1,171.42000000000002,5,1,1,7,Potential
216,1,141.85999999999999,1,1,1,3,At Risk
82,3,1799.33,2,3,4,9,Potential
84,2,777.53,2,2,3,7,Potential
144,3,1724.67,2,3,4,9,Potential
19,2,240.22,4,2,1,7,Potential
41,2,856.84,3,2,3,8,Potential
173,1,187.05,2,1,1,4,At Risk
17,2,338.62,4,2,2,8,Potential
243,1,239.49,1,1,1,3,At Risk
13,12,2088.94,5,5,5,15,Champion
206,1,1384.25,1,1,4,6,At Risk
50,2,290.25,3,2,2,7,Potential
23,5,732.0699999999999,4,4,3,11,Loyal
10,18,6717.34,5,5,5,15,Champion
25,4,1687.6000000000001,4,4,4,12,Loyal
15,2,467.04,4,2,2,8,Potential
309,1,118.0,1,1,1,3,At Risk
156,1,781.03,2,1,3,6,At Risk
307,1,142.4,1,1,1,3,At Risk
64,1,712.4,3,1,3,7,Potential
16,9,2478.95,4,5,5,14,Champion
15,2,379.65,4,2,2,8,Potential
11,6,1981.92,5,5,4,14,Champion
65,3,1117.13,3,3,4,10,Loyal
36,4,247.95999999999998,3,4,1,8,Potential
108,5,2011.88,2,4,4,10,Loyal
53,1,396.97,3,1,2,6,At Risk
6,2,664.11,5,2,3,10,Loyal
47,1,160.04,3,1,1,5,At Risk
1,21,5149.92,5,5,5,15,Champion
312,1,219.52,1,1,1,3,At Risk
45,2,693.32,3,2,3,8,Potential
65,1,428.89,3,1,2,6,At Risk
26,1,164.34,4,1,1,6,At Risk
29,3,276.75,4,3,2,9,Potential
40,1,675.51,3,1,3,7,Potential
12,7,1082.33,5,5,4,14,Champion
89,3,1154.4,2,3,4,9,Potential
24,4,1585.46,4,4,4,12,Loyal
319,1,417.69,1,1,2,4,At Risk
40,3,544.18,3,3,3,9,Potential
174,1,177.34,2,1,1,4,At Risk
117,1,213.85,2,1,1,4,At Risk
31,5,727.74,4,4,3,11,Loyal
253,1,257.23,1,1,2,4,At Risk
59,5,1638.47,3,4,4,11,Loyal
23,11,7792.36,4,5,5,14,Champion
5,7,2031.78,5,5,4,14,Champion
100,11,3070.42,2,5,5,12,Loyal
25,5,2118.93,4,4,5,13,Champion
33,5,1547.3600000000001,4,4,4,12,Loyal
68,1,1071.03,3,1,4,8,Potential
37,5,949.12,3,4,4,11,Loyal
52,3,804.3,3,3,3,9,Potential
16,1,122.64,4,1,1,6,At Risk
74,1,1033.34,2,1,4,7,Potential
216,1,312.28,1,1,2,4,At Risk
31,3,519.44,4,3,3,10,Loyal
16,4,2624.26,4,4,5,13,Champion
120,1,252.1,2,1,2,5,At Risk
10,4,1648.1200000000001,5,4,4,13,Champion
257,2,346.6,1,2,2,5,At Risk
17,6,1836.34,4,5,4,13,Champion
35,2,94.2,3,2,1,6,At Risk
46,3,1095.08,3,3,4,10,Loyal
43,6,2707.33,3,5,5,13,Champion
114,2,932.97,2,2,3,7,Potential
165,2,379.65,2,2,2,6,At Risk
11,2,382.14,5,2,2,9,Potential
10,5,2639.17,5,4,5,14,Champion
206,2,1563.0,1,2,4,7,Potential
86,3,881.26,2,3,3,8,Potential
179,1,189.47,2,1,1,4,At Risk
60,3,84.65,3,3,1,7,Potential
149,1,299.05,2,1,2,5,At Risk
3,21,6309.83,5,5,5,15,Champion
51,2,218.55,3,2,1,6,At Risk
75,1,349.7,2,1,2,5,At Risk
301,2,186.39000000000001,1,2,1,4,At Risk
19,2,387.44,4,2,2,8,Potential
151,2,486.82000000000005,2,2,2,6,At Risk
152,1,232.6,2,1,1,4,At Risk
1,4,3719.12,5,4,5,14,Champion
18,4,827.83,4,4,3,11,Loyal
187,1,59.5,1,1,1,3,At Risk
286,1,65.13,1,1,1,3,At Risk
3,7,3119.44,5,5,5,15,Champion
183,1,72.0,1,1,1,3,At Risk
63,1,910.0,3,1,3,7,Potential
59,1,172.25,3,1,1,5,At Risk
25,3,1488.32,4,3,4,11,Loyal
4,50,65039.62,5,5,5,15,Champion
31,15,2504.13,4,5,5,14,Champion
39,1,151.29999999999998,3,1,1,5,At Risk
155,1,308.58000000000004,2,1,2,5,At Risk
26,10,2248.63,4,5,5,14,Champion
318,1,99.5,1,1,1,3,At Risk
5,9,2308.06,5,5,5,15,Champion
8,3,711.86,5,3,3,11,Loyal
303,1,330.79,1,1,2,4,At Risk
267,2,806.41,1,2,3,6,At Risk
271,1,285.33,1,1,2,4,At Risk
4,13,6307.650000000001,5,5,5,15,Champion
32,1,180.48,4,1,1,6,At Risk
219,2,252.06,1,2,2,5,At Risk
247,1,228.84,1,1,1,3,At Risk
281,5,1077.39,1,4,4,9,Potential
269,1,138.28,1,1,1,3,At Risk
32,6,1445.01,4,5,4,13,Champion
246,2,306.55,1,2,2,5,At Risk
15,5,1041.68,4,4,4,12,Loyal
117,4,799.9,2,4,3,9,Potential
36,1,524.14,3,1,3,7,Potential
132,3,2375.41,2,3,5,10,Loyal
217,1,199.85000000000002,1,1,1,3,At Risk
50,8,1980.56,3,5,4,12,Loyal
39,2,1079.6599999999999,3,2,4,9,Potential
29,2,333.48,4,2,2,8,Potential
37,6,1016.14,3,5,4,12,Loyal
136,2,752.6,2,2,3,7,Potential
219,2,610.59,1,2,3,6,At Risk
28,1,491.86,4,1,3,8,Potential
25,4,2883.54,4,4,5,13,Champion
5,2,729.8,5,2,3,10,Loyal
200,1,339.59999999999997,1,1,2,4,At Risk
18,1,216.9,4,1,1,6,At Risk
241,1,350.75,1,1,2,4,At Risk
72,3,668.4300000000001,3,3,3,9,Potential
17,12,3107.87,4,5,5,14,Champion
3,7,1341.6,5,5,4,14,Champion
95,2,1080.52,2,2,4,8,Potential
162,1,300.04,2,1,2,5,At Risk
374,1,79.6,1,1,1,3,At Risk
96,5,948.25,2,4,4,10,Loyal
54,5,1647.26,3,4,4,11,Loyal
288,1,296.25,1,1,2,4,At Risk
124,6,1175.38,2,5,4,11,Loyal
288,1,741.26,1,1,3,5,At Risk
152,2,282.59999999999997,2,2,2,6,At Risk
4,9,2108.06,5,5,5,15,Champion
2,14,5189.52,5,5,5,15,Champion
12,7,3190.55,5,5,5,15,Champion
33,2,659.4100000000001,4,2,3,9,Potential
54,2,286.79,3,2,2,7,Potential
50,2,1070.65,3,2,4,9,Potential
219,1,306.72,1,1,2,4,At Risk
63,1,1714.96,3,1,4,8,Potential
71,3,1519.42,3,3,4,10,Loyal
2,37,17220.36,5,5,5,15,Champion
2,10,2796.51,5,5,5,15,Champion
64,4,2634.45,3,4,5,12,Loyal
34,3,1122.63,3,3,4,10,Loyal
82,1,345.0,2,1,2,5,At Risk
1,33,25977.16,5,5,5,15,Champion
103,1,178.7,2,1,1,4,At Risk
7,2,360.01,5,2,2,9,Potential
251,1,127.84,1,1,1,3,At Risk
13,6,908.86,5,5,3,13,Champion
10,11,2462.79,5,5,5,15,Champion
367,1,230.39999999999998,1,1,1,3,At Risk
76,2,309.04,2,2,2,6,At Risk
4,1,348.8,5,1,2,8,Potential
128,2,1516.0,2,2,4,8,Potential
66,2,195.55,3,2,1,6,At Risk
1,57,37153.85,5,5,5,15,Champion
117,2,688.86,2,2,3,7,Potential
310,1,558.32,1,1,3,5,At Risk
67,1,324.8,3,1,2,6,At Risk
139,3,4599.42,2,3,5,10,Loyal
255,1,277.07,1,1,2,4,At Risk
31,7,2588.39,4,5,5,14,Champion
52,2,924.6,3,2,3,8,Potential
64,1,256.38,3,1,2,6,At Risk
367,1,112.6,1,1,1,3,At Risk
6,5,1747.66,5,4,4,13,Champion
305,1,155.05,1,1,1,3,At Risk
29,3,1499.01,4,3,4,11,Loyal
184,3,814.5,1,3,3,7,Potential
42,3,539.0,3,3,3,9,Potential
40,4,1366.8600000000001,3,4,4,11,Loyal
92,2,1579.12,2,2,4,8,Potential
22,4,4027.36,4,4,5,13,Champion
24,2,571.6700000000001,4,2,3,9,Potential
29,2,382.98,4,2,2,8,Potential
302,3,1140.35,1,3,4,8,Potential
145,2,385.64,2,2,2,6,At Risk
6,2,632.0,5,2,3,10,Loyal
19,2,957.66,4,2,4,10,Loyal
33,5,1698.94,4,4,4,12,Loyal
176,1,189.5,2,1,1,4,At Risk
58,3,409.8,3,3,2,8,Potential
22,1,209.49,4,1,1,6,At Risk
16,6,2198.45,4,5,5,14,Champion
19,1,52.199999999999996,4,1,1,6,At Risk
159,1,383.85,2,1,2,5,At Risk
25,4,834.57,4,4,3,11,Loyal
212,2,266.59000000000003,1,2,2,5,At Risk
6,4,674.82,5,4,3,12,Loyal
253,1,85.0,1,1,1,3,At Risk
59,9,3385.62,3,5,5,13,Champion
11,1,361.62,5,1,2,8,Potential
65,1,312.98,3,1,2,6,At Risk
25,3,865.0600000000001,4,3,3,10,Loyal
92,3,1255.0,2,3,4,9,Potential
52,2,1537.95,3,2,4,9,Potential
129,1,1595.48,2,1,4,7,Potential
96,3,2651.46,2,3,5,10,Loyal
57,1,1090.14,3,1,4,8,Potential
9,25,8109.5199999999995,5,5,5,15,Champion
169,3,388.5,2,3,2,7,Potential
57,1,216.17,3,1,1,5,At Risk
326,1,201.16,1,1,1,3,At Risk
1,5,1245.9,5,4,4,13,Champion
18,8,2209.36,4,5,5,14,Champion
248,1,305.78,1,1,2,4,At Risk
58,4,501.56,3,4,3,10,Loyal
74,1,145.67000000000002,2,1,1,4,At Risk
31,3,1005.09,4,3,4,11,Loyal
7,2,3192.54,5,2,5,12,Loyal
123,4,3083.65,2,4,5,11,Loyal
2,8,2770.94,5,5,5,15,Champion
23,13,6403.25,4,5,5,14,Champion
120,3,389.6,2,3,2,7,Potential
358,1,540.45,1,1,3,5,At Risk
54,5,1786.79,3,4,4,11,Loyal
64,1,122.7,3,1,1,5,At Risk
86,1,117.24,2,1,1,4,At Risk
55,1,1271.57,3,1,4,8,Potential
21,13,3219.77,4,5,5,14,Champion
4,20,17159.52,5,5,5,15,Champion
3,5,1191.13,5,4,4,13,Champion
11,5,2674.48,5,4,5,14,Champion
7,5,787.6,5,4,3,12,Loyal
189,2,506.8,1,2,3,6,At Risk
71,1,243.56,3,1,1,5,At Risk
204,1,349.55,1,1,2,4,At Risk
120,2,595.67,2,2,3,7,Potential
93,1,416.90000000000003,2,1,2,5,At Risk
1,10,1883.8100000000002,5,5,4,14,Champion
27,4,632.97,4,4,3,11,Loyal
298,1,821.1,1,1,3,5,At Risk
24,3,564.62,4,3,3,10,Loyal
28,4,2593.07,4,4,5,13,Champion
50,1,311.16,3,1,2,6,At Risk
326,1,155.93,1,1,1,3,At Risk
16,2,388.52,4,2,2,8,Potential
183,3,740.95,1,3,3,7,Potential
72,5,2867.2,3,4,5,12,Loyal
37,2,332.64,3,2,2,7,Potential
80,4,2369.55,2,4,5,11,Loyal
57,9,2580.91,3,5,5,13,Champion
12,2,626.45,5,2,3,10,Loyal
50,2,272.04,3,2,2,7,Potential
50,2,1212.8400000000001,3,2,4,9,Potential
59,2,384.81,3,2,2,7,Potential
352,1,172.25,1,1,1,3,At Risk
54,1,351.13,3,1,2,6,At Risk
2,6,1838.8500000000001,5,5,4,14,Champion
93,4,678.25,2,4,3,9,Potential
23,1,223.85000000000002,4,1,1,6,At Risk
75,1,348.99,2,1,2,5,At Risk
11,4,464.57,5,4,2,11,Loyal
169,2,842.65,2,2,3,7,Potential
58,2,337.34,3,2,2,7,Potential
96,2,1237.53,2,2,4,8,Potential
295,1,307.4,1,1,2,4,At Risk
109,2,608.7900000000001,2,2,3,7,Potential
264,1,922.1,1,1,3,5,At Risk
180,1,376.58,1,1,2,4,At Risk
169,1,158.85,2,1,1,4,At Risk
35,1,71.66,3,1,1,5,At Risk
23,3,568.55,4,3,3,10,Loyal
17,4,839.14,4,4,3,11,Loyal
22,5,5112.96,4,4,5,13,Champion
79,3,561.5699999999999,2,3,3,8,Potential
65,1,90.6,3,1,1,5,At Risk
361,1,102.0,1,1,1,3,At Risk
3,6,2427.32,5,5,5,15,Champion
11,4,745.06,5,4,3,12,Loyal
176,3,674.45,2,3,3,8,Potential
218,2,3251.071,1,2,5,8,Potential
7,7,3515.68,5,5,5,15,Champion
2,2,439.92,5,3,2,10,Loyal
154,2,322.96,2,3,2,7,Potential
5,5,1019.27,5,4,4,13,Champion
79,3,594.04,2,3,3,8,Potential
21,2,230.22,4,3,1,8,Potential
22,2,169.55,4,3,1,8,Potential
308,4,664.54,1,4,3,8,Potential
146,1,80.7,2,1,1,4,At Risk
7,18,9024.17,5,5,5,15,Champion
19,8,2758.26,4,5,5,14,Champion
71,2,190.25,3,3,1,7,Potential
287,1,264.7,1,1,2,4,At Risk
49,1,413.59000000000003,3,1,2,6,At Risk
31,6,2461.2400000000002,4,5,5,14,Champion
207,1,357.98,1,1,2,4,At Risk
15,2,196.79000000000002,4,3,1,8,Potential
73,1,869.87,2,1,3,6,At Risk
60,1,200.14,3,1,1,5,At Risk
39,4,1871.81,3,4,4,11,Loyal
30,12,2603.43,4,5,5,14,Champion
27,5,920.51,4,4,3,11,Loyal
4,15,7060.13,5,5,5,15,Champion
17,1,320.46,4,1,2,7,Potential
20,6,4147.96,4,5,5,14,Champion
66,2,1266.08,3,3,4,10,Loyal
213,1,311.3,1,1,2,4,At Risk
12,6,852.88,5,5,3,13,Champion
30,1,76.8,4,1,1,6,At Risk
43,9,3466.36,3,5,5,13,Champion
4,6,2274.14,5,5,5,15,Champion
15,5,1393.69,4,4,4,12,Loyal
10,12,3901.81,5,5,5,15,Champion
211,1,635.66,1,1,3,5,At Risk
46,3,2043.0800000000002,3,3,4,10,Loyal
134,2,529.73,2,3,3,8,Potential
43,7,4582.64,3,5,5,13,Champion
10,5,2874.72,5,4,5,14,Champion
116,3,962.19,2,3,4,9,Potential
198,2,695.61,1,3,3,7,Potential
278,1,328.8,1,1,2,4,At Risk
110,3,473.02,2,3,2,7,Potential
77,1,505.18,2,1,3,6,At Risk
53,1,917.34,3,1,3,7,Potential
162,4,4341.21,2,4,5,11,Loyal
47,3,1421.61,3,3,4,10,Loyal
17,2,642.8,4,3,3,10,Loyal
155,3,631.9,2,3,3,8,Potential
225,1,440.0,1,1,2,4,At Risk
7,2,584.07,5,3,3,11,Loyal
122,2,327.7,2,3,2,7,Potential
61,1,104.82,3,1,1,5,At Risk
63,2,467.66,3,3,2,8,Potential
18,8,2358.84,4,5,5,14,Champion
7,19,17286.86,5,5,5,15,Champion
2,11,2975.59,5,5,5,15,Champion
22,3,648.89,4,3,3,10,Loyal
29,5,1428.02,4,4,4,12,Loyal
285,1,626.65,1,1,3,5,At Risk
176,2,147.20000000000002,2,3,1,6,At Risk
78,3,1560.38,2,3,4,9,Potential
33,1,152.2,4,1,1,6,At Risk
41,12,3560.32,3,5,5,13,Champion
266,1,141.41,1,1,1,3,At Risk
27,4,646.42,4,4,3,11,Loyal
109,4,1659.75,2,4,4,10,Loyal
284,1,154.99,1,1,1,3,At Risk
9,5,1308.6100000000001,5,4,4,13,Champion
305,1,409.93,1,1,2,4,At Risk
17,4,5578.72,4,4,5,13,Champion
32,2,746.36,4,3,3,10,Loyal
1,23,15610.390000000001,5,5,5,15,Champion
20,1,225.36,4,1,1,6,At Risk
124,2,260.25,2,3,2,7,Potential
65,1,92.46,3,1,1,5,At Risk
106,1,725.6400000000001,2,1,3,6,At Risk
1,23,8152.71,5,5,5,15,Champion
24,17,6211.66,4,5,5,14,Champion
267,1,183.6,1,1,1,3,At Risk
5,19,6140.42,5,5,5,15,Champion
10,12,10464.85,5,5,5,15,Champion
29,5,1334.34,4,4,4,12,Loyal
267,1,152.55,1,1,1,3,At Risk
64,2,374.7,3,3,2,8,Potential
320,1,265.85,1,1,2,4,At Risk
4,8,1437.57,5,5,4,14,Champion
32,1,151.04,4,1,1,6,At Risk
5,3,942.26,5,3,4,12,Loyal
129,1,118.67,2,1,1,4,At Risk
41,5,499.41999999999996,3,4,3,10,Loyal
102,6,1049.37,2,5,4,11,Loyal
125,1,375.1,2,1,2,5,At Risk
33,1,45.599999999999994,4,1,1,6,At Risk
302,2,921.62,1,3,3,7,Potential
365,1,182.25,1,1,1,3,At Risk
4,9,1002.9,5,5,4,14,Champion
2,18,4421.29,5,5,5,15,Champion
3,1,191.47,5,1,1,7,Potential
10,13,50491.81,5,5,5,15,Champion
57,1,158.75,3,1,1,5,At Risk
325,1,76.32000000000001,1,1,1,3,At Risk
8,14,4076.91,5,5,5,15,Champion
12,1,433.86,5,1,2,8,Potential
4,17,65164.79,5,5,5,15,Champion
37,1,147.35,3,1,1,5,At Risk
16,11,3104.17,4,5,5,14,Champion
138,1,191.95000000000002,2,1,1,4,At Risk
74,6,5976.79,2,5,5,12,Loyal
5,5,1105.8799999999999,5,4,4,13,Champion
155,2,216.20999999999998,2,3,1,6,At Risk
239,1,1266.23,1,1,4,6,At Risk
52,7,2703.23,3,5,5,13,Champion
31,2,597.91,4,3,3,10,Loyal
73,1,144.2,2,1,1,4,At Risk
